tmax_bin,average_burn_size
"(-50, -45]",0.0
"(-45, -40]",0.0
"(-40, -35]",0.007636178516884438
"(-35, -30]",0.004077263522732907
"(-30, -25]",0.0004356281299175187
"(-25, -20]",0.12578198306106225
"(-20, -15]",0.16486943963004969
"(-15, -10]",0.07956648413909705
"(-10, -5]",0.08152482275991332
"(-5, 0]",0.06382423761624133
"(0, 5]",0.05690391262382969
"(5, 10]",0.0335340217700134
"(10, 15]",0.04358512002785983
"(15, 20]",0.06711651378552407
"(20, 25]",0.1069914807723913
"(25, 30]",0.1509822307034249
"(30, 35]",0.1936430621380227
"(35, 40]",0.30938200074360306
"(40, 45]",0.48045732383596856
"(45, 50]",0.694760771152076
"(50, 55]",1.0013793745676536
"(55, 60]",1.2665944406608207
"(60, 65]",1.5344099629866945
"(65, 70]",1.8551991194672193
"(70, 75]",2.1224166366624817
"(75, 80]",2.076272184280963
"(80, 85]",1.9728049263730556
"(85, 90]",2.2590792427831006
"(90, 95]",2.8092238934377893
"(95, 100]",4.723020031820236
"(100, 105]",6.9162519559349676
"(105, 110]",12.894004266771985
"(110, 115]",21.4395142259979
"(115, 120]",18.40714753610587
"(120, 125]",0.023809523809523808
"(125, 130]",0.0
