tmax_bin,fire_count
"(-50, -45]",7
"(-45, -40]",18
"(-40, -35]",71
"(-35, -30]",222
"(-30, -25]",417
"(-25, -20]",1079
"(-20, -15]",2047
"(-15, -10]",5126
"(-10, -5]",11908
"(-5, 0]",23316
"(0, 5]",46830
"(5, 10]",69835
"(10, 15]",130564
"(15, 20]",243746
"(20, 25]",379485
"(25, 30]",562414
"(30, 35]",945652
"(35, 40]",1298596
"(40, 45]",1351840
"(45, 50]",1528814
"(50, 55]",1475373
"(55, 60]",1824349
"(60, 65]",2142165
"(65, 70]",2117473
"(70, 75]",2103468
"(75, 80]",2626110
"(80, 85]",3104286
"(85, 90]",2509236
"(90, 95]",1692550
"(95, 100]",594524
"(100, 105]",214429
"(105, 110]",37964
"(110, 115]",3945
"(115, 120]",339
"(120, 125]",21
"(125, 130]",4
